segmentnr	original	analyzed
MBtantrabhidanaHK-374	cha|43|5	Ro
MBtantrabhidanaHK-375	cha|49|8	Ro
MBtantrabhidanaHK-376	cha|56|6	Ro
MBtantrabhidanaHK-377	ekapādaḥ - ṛ|7|16	eka pādaḥ 
MBtantrabhidanaHK-378	cha|49|9	Ro
MBtantrabhidanaHK-379	ña|14|5	Ro
MBtantrabhidanaHK-380	ña|49|16	Ro
MBtantrabhidanaHK-381	ṭha|14|16	Ro
MBtantrabhidanaHK-382	ḍa|57|1	Ro
MBtantrabhidanaHK-383	ekamātri(tṛ)kaḥ - a|5|9	eka mātri tṛkaḥ 
MBtantrabhidanaHK-384	ekamātrā - cha|3|5	eka mātrā 
MBtantrabhidanaHK-385	ekarudraḥ - ṅa|12|9	ekarudraḥ 
MBtantrabhidanaHK-386	ṅa|56|2	Ro
MBtantrabhidanaHK-387	ekarūpaḥ - ca|12|16	eka rūpaḥ 
MBtantrabhidanaHK-388	ca|49|6	Ro
MBtantrabhidanaHK-389	ekavaktraḥ - ṅa|49|5	eka vaktraḥ 
MBtantrabhidanaHK-390	ekākī - ḹ|8|18	ekākī 
MBtantrabhidanaHK-391	ekākṣī - strīṃ|61|14	eka akṣī 
MBtantrabhidanaHK-392	p. 6)	p 
MBtantrabhidanaHK-393	ekāṅghriḥ - ḷ|36|2	eka aṅghriḥ 
MBtantrabhidanaHK-394	ekādaśī - e|9|6	ekādaśī 
MBtantrabhidanaHK-395	elāpuraṃ - ca|15|9	elāpuram 
MBtantrabhidanaHK-396	|| ai ||	ai 
MBtantrabhidanaHK-397	aiśvarī - ḍha|57|3	aiśvarī 
MBtantrabhidanaHK-398	|| o ||	o 
MBtantrabhidanaHK-399	oṣṭhaḥ - e|9|1	oṣṭhaḥ 
MBtantrabhidanaHK-400	au|10|4	Ro
MBtantrabhidanaHK-401	au|48|12	Ro
MBtantrabhidanaHK-402	oṃkāraḥ - oṃ|5|1	oṃkāraḥ 
MBtantrabhidanaHK-403	oṃ|47|3	Ro
MBtantrabhidanaHK-404	oṃ|53|4	Ro
MBtantrabhidanaHK-405	|| au ||	au 
MBtantrabhidanaHK-406	(aujasaḥ - ra|19|14)	aujasaḥ 
MBtantrabhidanaHK-407	|| ka ||	ka 
MBtantrabhidanaHK-408	kakudaḥ - la|39|7	kakudaḥ 
MBtantrabhidanaHK-409	kakudgataḥ - la|58|15	kakud gataḥ 
MBtantrabhidanaHK-410	(kakṣaḥ - ka|21|19)	kakṣaḥ 
MBtantrabhidanaHK-411	kaṅkaṇaḥ - jha|49|12	kaṅkaṇaḥ 
MBtantrabhidanaHK-412	kaṭiḥ - ṭa|14|10	kaṭiḥ 
MBtantrabhidanaHK-413	ṭa|49|17	Ro
MBtantrabhidanaHK-414	kaṇṭakaḥ - ū|7|9	kaṇṭakaḥ 
MBtantrabhidanaHK-415	kaṇṭhaḥ - a|5|15	kaṇṭhaḥ 
MBtantrabhidanaHK-416	a|53|6	Ro
MBtantrabhidanaHK-417	au|10|4	Ro
MBtantrabhidanaHK-418	au|48|12	Ro
MBtantrabhidanaHK-419	kaṇṭhakaḥ - ḥ|10|16	kaṇṭhakaḥ 
MBtantrabhidanaHK-420	kaṇṭhasthaḥ - a|35|5	kaṇṭha sthaḥ 
MBtantrabhidanaHK-421	kadhāriṇī - ḍha|15|8	ka dhāriṇī 
MBtantrabhidanaHK-422	(kanyācaraḥ - ḥ|10|13)	kanyā caraḥ 
MBtantrabhidanaHK-423	kanyācararaviḥ - ḥ|10|13	kanyā cara raviḥ 
MBtantrabhidanaHK-424	(kanyā - ḥ|10|20)	kanyā 
MBtantrabhidanaHK-425	kanyāstananibhaḥ - ḥ|36|16	kanyā stana nibhaḥ 
MBtantrabhidanaHK-426	kapardinī - ba|18|4	kapardinī 
MBtantrabhidanaHK-427	kapardī - ai|9|10	kapardī 
MBtantrabhidanaHK-428	o|55|2	Ro
MBtantrabhidanaHK-429	pa|27|9	Ro
MBtantrabhidanaHK-430	pa|31|2	Ro
MBtantrabhidanaHK-431	kapālaḥ - ka|11|3	kapālaḥ 
MBtantrabhidanaHK-432	ka|48|18	Ro
MBtantrabhidanaHK-433	kapālinī - u|30|7	kapālinī 
MBtantrabhidanaHK-434	kapālī - kha|11|13	kapālī 
MBtantrabhidanaHK-435	kha|48|20	Ro
MBtantrabhidanaHK-436	ṭa|14|7	Ro
MBtantrabhidanaHK-437	ṭa|49|18	Ro
MBtantrabhidanaHK-438	ṭha|27|8	Ro
MBtantrabhidanaHK-439	ṭha|30|21	Ro
MBtantrabhidanaHK-440	kapilā - ya|19|8	kapilā 
MBtantrabhidanaHK-441	ha|21|15	Ro
MBtantrabhidanaHK-442	kaphaḥ - pha|25|14	kaphaḥ 
MBtantrabhidanaHK-443	kaphoṇiḥ - kha|11|12	kaphoṇiḥ 
MBtantrabhidanaHK-444	kamaṭhāriḥ - kha|42|18	kamaṭhāriḥ 
MBtantrabhidanaHK-445	kamaṇḍaluḥ - ṭha|37|19	kamaṇḍaluḥ 
MBtantrabhidanaHK-446	ṭha|56|15	Ro
MBtantrabhidanaHK-447	kamaṇḍaluḥ - tha|44|3	kamaṇḍaluḥ 
MBtantrabhidanaHK-448	kamalaḥ - la|39|19	kamalaḥ 
MBtantrabhidanaHK-449	kamalā - ī|1|5	kamalā 
MBtantrabhidanaHK-450	śrīṃ|4|7	Ro
MBtantrabhidanaHK-451	karaḥ - ka|11|7	karaḥ 
MBtantrabhidanaHK-452	dha|44|7	Ro
MBtantrabhidanaHK-453	karaṇaṃ - sa|26|14	karaṇam 
MBtantrabhidanaHK-454	karasūḥ - a|5|13	karasūḥ 
MBtantrabhidanaHK-455	karādigaḥ - ka|36|18	kara ādi gaḥ 
MBtantrabhidanaHK-456	karālinī - ḹ|27|3	karālinī 
MBtantrabhidanaHK-457	karkaśaḥ - jha|13|16	karkaśaḥ 
MBtantrabhidanaHK-458	karṇaḥ - ṛ|7|17	karṇaḥ 
MBtantrabhidanaHK-459	karṇikā - śa|45|5	karṇikā 
MBtantrabhidanaHK-460	kartṛkā - ja|13|10	kartṛkā 
MBtantrabhidanaHK-461	karṣaṇī - ḹ|8|18	karṣaṇī 
MBtantrabhidanaHK-462	kalakaṇṭhaḥ - ṣa|21|6	kalakaṇṭhaḥ 
MBtantrabhidanaHK-463	sa|21|11	Ro
MBtantrabhidanaHK-464	kalatraṃ - da|16|8	kalatram 
MBtantrabhidanaHK-465	da|25|5	Ro
MBtantrabhidanaHK-466	kalasaṃ - va|20|10	kalasam 
MBtantrabhidanaHK-467	kalasaḥ - ba|18|4	kalasaḥ 
MBtantrabhidanaHK-468	ba|26|7	Ro
MBtantrabhidanaHK-469	kalahaṃsapriyā - jha|13|19	        
MBtantrabhidanaHK-470	kalā - ī|1|5	kalā 
MBtantrabhidanaHK-471	nādaḥ|22|19	Ro
MBtantrabhidanaHK-472	nādaḥ|63|6	Ro
MBtantrabhidanaHK-473	kalājñaḥ - ḥ|2|10	kalā jñaḥ 
MBtantrabhidanaHK-474	p. 7)	p 
MBtantrabhidanaHK-475	kalādyaḥ - a|41|4	kalā ādyaḥ 
MBtantrabhidanaHK-476	kalānidhiḥ - ḥ|10|10	       
MBtantrabhidanaHK-477	kalārasaḥ - la|20|8	       
MBtantrabhidanaHK-478	kalikā - ṝ|30|9	kalikā 
MBtantrabhidanaHK-479	kalyāṇaṃ - u|7|3	kalyāṇam 
MBtantrabhidanaHK-480	śa|20|18	Ro
MBtantrabhidanaHK-481	kalyāṇī - kha|11|13	kalyāṇī 
MBtantrabhidanaHK-482	kavacaṃ - huṃ|62|20	kavacam 
MBtantrabhidanaHK-483	kavacaḥ - ḥ|42|12	kavacaḥ 
MBtantrabhidanaHK-484	kavyaṃ - kṣa|22|14	kavyam 
MBtantrabhidanaHK-485	(kavyavahā - kṣa|22|17)	kavya vahā 
MBtantrabhidanaHK-486	kāṭaraḥ - i|6|9	kāṭaraḥ 
MBtantrabhidanaHK-487	kātyāyanī - da|16|11	kātyāyanī 
MBtantrabhidanaHK-488	kāntaḥ - i|6|11	kāntaḥ 
MBtantrabhidanaHK-489	kha|55|12	Ro
MBtantrabhidanaHK-490	pha|44|14	Ro
MBtantrabhidanaHK-491	kāntā - ai|9|7	kāntā 
MBtantrabhidanaHK-492	(pa|17|20)	Ro
MBtantrabhidanaHK-493	kāntiḥ - ā|6|5	kāntiḥ 
MBtantrabhidanaHK-494	ṅa|12|10	Ro
MBtantrabhidanaHK-495	ṅa|56|1	Ro
MBtantrabhidanaHK-496	(ḍa|15|20)	Ro
MBtantrabhidanaHK-497	śa|20|18	Ro
MBtantrabhidanaHK-498	kāntikṛt - ḹ|8|15	kānti kṛt 
MBtantrabhidanaHK-499	kānyakubjakaḥ - ū|7|13	  
MBtantrabhidanaHK-500	kāmaḥ - i|6|11	kāmaḥ 
MBtantrabhidanaHK-501	klīṃ|4|13	Ro
MBtantrabhidanaHK-502	kāmaḥ - ja|40|6	kāmaḥ 
MBtantrabhidanaHK-503	ra|26|2	Ro
MBtantrabhidanaHK-504	kṣa|22|12	Ro
MBtantrabhidanaHK-505	kāmakartā - cha|13|6	kāmakartā 
MBtantrabhidanaHK-506	kāmakarṣiṇī - a|5|16	kāma karṣiṇī 
MBtantrabhidanaHK-507	kāmakalā - ī|6|18	kāmakalā 
MBtantrabhidanaHK-508	kāmakoṭaḥ - ai|9|13	kāmakoṭaḥ 
MBtantrabhidanaHK-509	(kāmakoṭī - ai|9|13)	kāmakoṭī 
MBtantrabhidanaHK-510	kāmagaḥ - ka|36|19	kāma gaḥ 
MBtantrabhidanaHK-511	kāmaghnaḥ - u|7|7	kāma ghnaḥ 
MBtantrabhidanaHK-512	kāmadevaḥ - ka|11|2	kāmadevaḥ 
MBtantrabhidanaHK-513	kāmadhuk - ṣa|21|3	kāmaduh 
MBtantrabhidanaHK-514	kāmadhūmakaḥ - ṣa|21|3	kāmadhūmakaḥ 
MBtantrabhidanaHK-515	kāmanā - u|7|7	kāmanā 
MBtantrabhidanaHK-516	kāmabījaṃ - klīṃ|62|10	kāmabījam 
MBtantrabhidanaHK-517	kāmavarddhanaṃ - ḷ|8|10	kāma varddhanam 
MBtantrabhidanaHK-518	kāmarājaḥ - ū|7|10	kāmarājaḥ 
MBtantrabhidanaHK-519	klīṃ|63|18	Ro
MBtantrabhidanaHK-520	(kāmakarṣiṇī - a|5|16)	kāma karṣiṇī 
MBtantrabhidanaHK-521	kāmarūpaḥ - a|5|14	kāmarūpaḥ 
MBtantrabhidanaHK-522	e|36|6	Ro
MBtantrabhidanaHK-523	e|42|4	Ro
MBtantrabhidanaHK-524	e|54|14	Ro
MBtantrabhidanaHK-525	ka|11|8	Ro
MBtantrabhidanaHK-526	śa|20|13	Ro
MBtantrabhidanaHK-527	śa|51|14	Ro
MBtantrabhidanaHK-528	kṣa|52|2	Ro
MBtantrabhidanaHK-529	kāmarūpī - kha|11|10	kāmarūpī 
MBtantrabhidanaHK-530	kha|48|20	Ro
MBtantrabhidanaHK-531	kāmarūpī - gha|49|1	kāmarūpī 
MBtantrabhidanaHK-532	śa|20|13	Ro
MBtantrabhidanaHK-533	śa|51|15	Ro
MBtantrabhidanaHK-534	kāmalabhā(tā) - ṛ|7|17	kāmalabhātā 
MBtantrabhidanaHK-535	kāmākhyaṃ - gha|12|7	kāma ākhyam 
MBtantrabhidanaHK-536	kāmākhyaḥ - ka|55|10	kāma ākhyaḥ 
MBtantrabhidanaHK-537	kāmāṅgaḥ - ka|42|16	kāma aṅgaḥ 
MBtantrabhidanaHK-538	kāmikaḥ - ta|38|5	kāmikaḥ 
MBtantrabhidanaHK-539	ta|57|7	Ro
MBtantrabhidanaHK-540	kāmikā - ta|15|17	kāmikā 
MBtantrabhidanaHK-541	kāminī - i|6|11	kāminī 
MBtantrabhidanaHK-542	ta|15|16	Ro
MBtantrabhidanaHK-543	strīṃ|61|14	Ro
MBtantrabhidanaHK-544	kāminīpriyā - la|20|6	      
MBtantrabhidanaHK-545	kāmukaḥ - gha|27|6	kāmukaḥ 
MBtantrabhidanaHK-546	kāmeśī - a|5|14	kāmeśī 
MBtantrabhidanaHK-547	ṅa|12|13	Ro
MBtantrabhidanaHK-548	kāmeśībījaṃ - klīṃ|62|10	kāmeśī bījam 
MBtantrabhidanaHK-549	klhrīṃ|62|14	Ro
MBtantrabhidanaHK-550	kāmeśvarī - ka|11|8	kāmeśvarī 
MBtantrabhidanaHK-551	kāmodarī - ḹ|8|14	kāmodarī 
MBtantrabhidanaHK-552	kārakaḥ - ā|41|6	kārakaḥ 
MBtantrabhidanaHK-553	kārtikeyaḥ - ḥ|42|13	kārtikeyaḥ 
MBtantrabhidanaHK-554	kālaḥ - u|47|14	kālaḥ 
MBtantrabhidanaHK-555	oṃ|63|9	Ro
MBtantrabhidanaHK-556	pha|17|18	Ro
MBtantrabhidanaHK-557	ma|18|17	Ro
MBtantrabhidanaHK-558	ma|51|3	Ro
MBtantrabhidanaHK-559	p. 8)	p 
MBtantrabhidanaHK-560	kālaḥ - hūṃ|64|18	kālaḥ 
MBtantrabhidanaHK-561	kṣa|22|9	Ro
MBtantrabhidanaHK-562	kālakārikā - ī|7|1	kālakārikā 
MBtantrabhidanaHK-563	kālakūṭā - u|27|2	kālakūṭā 
MBtantrabhidanaHK-564	u|30|6	Ro
MBtantrabhidanaHK-565	kālajihvā - ā|30|3	kālajihvā 
MBtantrabhidanaHK-566	kṣa|22|14	Ro
MBtantrabhidanaHK-567	kāladhūmakaḥ - (ṣa|21|3	kāladhūmakaḥ 
MBtantrabhidanaHK-568	ṣa|51|16)	Ro
MBtantrabhidanaHK-569	(kālavaktrā - u|30|6)	kāla vaktrā 
MBtantrabhidanaHK-570	kālavajrī - ā|27|1	kāla vajrī 
MBtantrabhidanaHK-571	kālabhadraḥ - ma|18|19	kālabhadraḥ 
MBtantrabhidanaHK-572	ma|51|4	Ro
MBtantrabhidanaHK-573	kālabhairavī - ā|30|3	     
MBtantrabhidanaHK-574	kālarātriḥ - ḹ|30|11	kālarātriḥ 
MBtantrabhidanaHK-575	pa|17|10	Ro
MBtantrabhidanaHK-576	pa|50|18	Ro
MBtantrabhidanaHK-577	kālarūpī - gha|12|5	kālarūpī 
MBtantrabhidanaHK-578	(gha|49|1)	Ro
MBtantrabhidanaHK-579	kālī - ya|3|13	kālī 
MBtantrabhidanaHK-580	ma|18|17	Ro
MBtantrabhidanaHK-581	kālībījaṃ - krīṃ|62|7	kālī bījam 
MBtantrabhidanaHK-582	kālottarīyaḥ - ī|6|16	kāla uttarīyaḥ 
MBtantrabhidanaHK-583	kāśaḥ - ḷ|8|12	kāśaḥ 
MBtantrabhidanaHK-584	kāśī - ā|6|6	kāśī 
MBtantrabhidanaHK-585	kiṅkiṇī - ghā|24|8	kiṅkiṇī 
MBtantrabhidanaHK-586	gha|12|4	Ro
MBtantrabhidanaHK-587	kiṅkiṇībījaṃ - drīṃ|63|21	kiṅkiṇī bījam 
MBtantrabhidanaHK-588	kīṭamukhī - ca|13|1	kīṭa mukhī 
MBtantrabhidanaHK-589	kīrtiḥ - a|5|12	kīrtiḥ 
MBtantrabhidanaHK-590	kīrtiḥ - a|30|2	kīrtiḥ 
MBtantrabhidanaHK-591	kīlālaṃ - ṝ|8|6	kīlālam 
MBtantrabhidanaHK-592	kuḥ - ṭa|40|6	kuḥ 
MBtantrabhidanaHK-593	(kukṣiḥ - ra|19|21)	kukṣiḥ 
MBtantrabhidanaHK-594	kucadvandvaṃ - ī|7|2	ku ca dvandvam 
MBtantrabhidanaHK-595	kujaḥ - ā|6|6	kujaḥ 
MBtantrabhidanaHK-596	jha|13|16	Ro
MBtantrabhidanaHK-597	kujeśaḥ - ū|7|10	kuja īśaḥ 
MBtantrabhidanaHK-598	kuṭilā - u|7|8	kuṭilā 
MBtantrabhidanaHK-599	da|16|12	Ro
MBtantrabhidanaHK-600	kutsā - ku|24|1	kutsā 
MBtantrabhidanaHK-601	kuṇḍalaṃ - ḥ|10|19	kuṇḍalam 
MBtantrabhidanaHK-602	ṭha|14|14	Ro
MBtantrabhidanaHK-603	da|16|10	Ro
MBtantrabhidanaHK-604	da|50|12	Ro
MBtantrabhidanaHK-605	kuṇḍalī - e|9|4	kuṇḍalī 
MBtantrabhidanaHK-606	ña|14|2	Ro
MBtantrabhidanaHK-607	ña|49|16	Ro
MBtantrabhidanaHK-608	kuṇḍodarī - ḹ|54|12	kuṇḍodarī 
MBtantrabhidanaHK-609	kuberaḥ - da|38|10	kuberaḥ 
MBtantrabhidanaHK-610	da|44|5	Ro
MBtantrabhidanaHK-611	da|57|11	Ro
MBtantrabhidanaHK-612	pa|25|12	Ro
MBtantrabhidanaHK-613	kuberadṛk - ḷ|36|3	kubera dṛś 
MBtantrabhidanaHK-614	kubjikā - ḥ|10|15	kubjikā 
MBtantrabhidanaHK-615	kubjinī - pha|27|18	kubjinī 
MBtantrabhidanaHK-616	kumāraḥ - śa|20|14	kumāraḥ 
MBtantrabhidanaHK-617	kumāraḥ - śa|51|13	kumāraḥ 
MBtantrabhidanaHK-618	kumudaḥ - jha|43|9	kumudaḥ 
MBtantrabhidanaHK-619	kumbhaḥ - (ḷ|8|19)	kumbhaḥ 
MBtantrabhidanaHK-620	pa|17|14	Ro
MBtantrabhidanaHK-621	ba|18|10	Ro
MBtantrabhidanaHK-622	kulakaulinī - śa|20|16	kulakaulinī 
MBtantrabhidanaHK-623	kulasundarī - ḷ|8|12	      
MBtantrabhidanaHK-624	kulācalaḥ - e|9|6	kula acalaḥ 
MBtantrabhidanaHK-625	kulāvatī - ca|13|2	kulāvatī 
MBtantrabhidanaHK-626	kulī - sa|3|19	kulī  /
MBtantrabhidanaHK-627	kulojjvalaḥ - sa|21|9	      
MBtantrabhidanaHK-628	kuṣṭhaḥ - tha|3|4	kuṣṭhaḥ 
MBtantrabhidanaHK-629	(kusumam - ka|21|19)	kusumam 
MBtantrabhidanaHK-630	kusvaraḥ - ghu|24|9	ku svaraḥ 
MBtantrabhidanaHK-631	(kūṭakoparivāraṇaḥ - ha|21|21)	kūṭaka uparivāraṇaḥ 
MBtantrabhidanaHK-632	kūpavirāvaṇaḥ - ha|21|17	kūpa virāvaṇaḥ 
MBtantrabhidanaHK-633	kūrcaṃ - hūṃ|4|9	kūrcam 
MBtantrabhidanaHK-634	hūṃ|62|4	Ro
MBtantrabhidanaHK-635	hūṃ|64|18	Ro
MBtantrabhidanaHK-636	kūrcasaṃjñaḥ - ca|2|16	kūrca saṃjñaḥ 
MBtantrabhidanaHK-637	kūrparaḥ - ja|49|10	kūrparaḥ 
MBtantrabhidanaHK-638	kūrmaḥ - ca|12|16	kūrmaḥ 
MBtantrabhidanaHK-639	ca|43|3	Ro
MBtantrabhidanaHK-640	ca|49|6	Ro
MBtantrabhidanaHK-641	kūrmeśvaraḥ - ca|37|7	        
MBtantrabhidanaHK-642	ca|56|3	Ro
MBtantrabhidanaHK-643	kṛtamaṇḍalaḥ - jha|49|12	kṛta maṇḍalaḥ 
MBtantrabhidanaHK-644	kṛtāntaḥ - kṣa|45|13	kṛtāntaḥ 
MBtantrabhidanaHK-645	ma|51|4	Ro
MBtantrabhidanaHK-646	p. 9)	p 
MBtantrabhidanaHK-647	kṛtī - ḹ|8|17	kṛtī 
MBtantrabhidanaHK-648	kṛtīśaḥ - ya|51|5	kṛtīśaḥ 
MBtantrabhidanaHK-649	kṛdhitaḥ - ma|51|4	kṛ t h itaḥ 
MBtantrabhidanaHK-650	(kṛśā - e|9|3)	kṛśā 
MBtantrabhidanaHK-651	kṛṣā - e|9|3	kṛṣā 
MBtantrabhidanaHK-652	kṛṣitaḥ - (ma|51|4)	kṛṣitaḥ 
MBtantrabhidanaHK-653	kṛṣṇaḥ - a|41|4	kṛṣṇaḥ 
MBtantrabhidanaHK-654	tha|16|5	Ro
MBtantrabhidanaHK-655	tha|38|7	Ro
MBtantrabhidanaHK-656	tha|57|10	Ro
MBtantrabhidanaHK-657	da|16|12	Ro
MBtantrabhidanaHK-658	ra|19|15	Ro
MBtantrabhidanaHK-659	ketuḥ - la|22|6	ketuḥ 
MBtantrabhidanaHK-660	kedāraḥ - ḥ|10|15	kedāraḥ 
MBtantrabhidanaHK-661	keśaḥ - a|35|5	keśaḥ 
MBtantrabhidanaHK-662	tha|16|6	Ro
MBtantrabhidanaHK-663	keśavaḥ - a|1|1	keśavaḥ 
MBtantrabhidanaHK-664	a|5|11	Ro
MBtantrabhidanaHK-665	a|41|3	Ro
MBtantrabhidanaHK-666	a|53|7	Ro
MBtantrabhidanaHK-667	kaiṭabhaḥ - kha|36|21	kaiṭabhaḥ 
MBtantrabhidanaHK-668	kaiṭabhāriḥ - (kha|36|22)	kaiṭabhāriḥ 
MBtantrabhidanaHK-669	kha|42|18	Ro
MBtantrabhidanaHK-670	kha|55|12	Ro
MBtantrabhidanaHK-671	kailāsaḥ - au|9|17	kailāsaḥ 
MBtantrabhidanaHK-672	koṭaraḥ - i|6|9	koṭaraḥ 
MBtantrabhidanaHK-673	i|47|10	Ro
MBtantrabhidanaHK-674	koṭarākṣī - ai|30|13	koṭara akṣī 
MBtantrabhidanaHK-675	koṭavī - ṇa|15|12	koṭavī 
MBtantrabhidanaHK-676	kopaḥ - phi|25|16	kopaḥ 
MBtantrabhidanaHK-677	sa|26|14	Ro
MBtantrabhidanaHK-678	ha|26|17	Ro
MBtantrabhidanaHK-679	kṣa|22|9	Ro
MBtantrabhidanaHK-680	kṣa|52|2	Ro
MBtantrabhidanaHK-681	komalaḥ - ṝ|8|5	komalaḥ 
MBtantrabhidanaHK-682	(koragiriḥ - ḍa|15|20	koragiriḥ 
MBtantrabhidanaHK-683	kolagiriḥ - ḍa|15|3	kolagiriḥ 
MBtantrabhidanaHK-684	koṣaḥ - ṣa|21|5	koṣaḥ 
MBtantrabhidanaHK-685	kauntaḥ - ḷ|8|8	kauntaḥ 
MBtantrabhidanaHK-686	kaumārī - ca|13|1	kaumārī 
MBtantrabhidanaHK-687	ña|14|3	Ro
MBtantrabhidanaHK-688	ḍa|15|1	Ro
MBtantrabhidanaHK-689	ḍa|50|2	Ro
MBtantrabhidanaHK-690	(kraṭakūpavirāvaṇaḥ - ha|21|20)	kraṭakūpa virāvaṇaḥ 
MBtantrabhidanaHK-691	kriyā - ā|6|5	kriyā 
MBtantrabhidanaHK-692	la|20|6	Ro
MBtantrabhidanaHK-693	la|39|7	Ro
MBtantrabhidanaHK-694	la|58|16	Ro
MBtantrabhidanaHK-695	krūraḥ - ḥ|48|13	krūraḥ 
MBtantrabhidanaHK-696	krūrā - ṝ|7|15	krūrā 
MBtantrabhidanaHK-697	kroḍaḥ - (ta|15|20)	kroḍaḥ 
MBtantrabhidanaHK-698	ta|25|3	Ro
MBtantrabhidanaHK-699	kroḍapucchakaḥ - ḍha|15|8	kroḍapucchakaḥ 
MBtantrabhidanaHK-700	ta|15|19	Ro
MBtantrabhidanaHK-701	krodhaḥ - ṝ|8|1	krodhaḥ 
MBtantrabhidanaHK-702	kṣa|22|11	Ro
MBtantrabhidanaHK-703	krodhaḥ - kṣa|52|2	krodhaḥ 
MBtantrabhidanaHK-704	huṃ|23|16	Ro
MBtantrabhidanaHK-705	huṃ|62|20	Ro
MBtantrabhidanaHK-706	hūṃ|62|21	Ro
MBtantrabhidanaHK-707	hūṃ|62|4	Ro
MBtantrabhidanaHK-708	krodhanaḥ - ū|7|9	krodhanaḥ 
MBtantrabhidanaHK-709	krodhabījaṃ - hūṃ|64|18	krodha bījam 
MBtantrabhidanaHK-710	krodhinī - ra|19|14	krodhinī 
MBtantrabhidanaHK-711	ra|39|5	Ro
MBtantrabhidanaHK-712	ra|58|14	Ro
MBtantrabhidanaHK-713	krodhī - ka|42|15	krodhī 
MBtantrabhidanaHK-714	krodhīśaḥ - ka|2|11	krodhīśaḥ 
MBtantrabhidanaHK-715	ka|11|2	Ro
MBtantrabhidanaHK-716	ka|27|5	Ro
MBtantrabhidanaHK-717	ka|30|19	Ro
MBtantrabhidanaHK-718	ka|36|18	Ro
MBtantrabhidanaHK-719	ka|48|17	Ro
MBtantrabhidanaHK-720	ka|55|9	Ro
MBtantrabhidanaHK-721	kroṣṭuḥ - ha|21|17	kroṣṭuḥ 
MBtantrabhidanaHK-722	krauñcaḥ - ra|19|17	krauñcaḥ 
MBtantrabhidanaHK-723	klinā - i|6|12	klinā 
MBtantrabhidanaHK-724	bha|18|11	Ro
MBtantrabhidanaHK-725	klībaṃ - ṛ-ṝḷḹ|4|15	klībam 
MBtantrabhidanaHK-726	klībaḥ -ṅa|43|1	klībaḥ 
MBtantrabhidanaHK-727	klībavaktraṃ - ṅa|37|6	klība vaktram 
MBtantrabhidanaHK-728	klībavaktraḥ - ḍa|56|2	klība vaktraḥ 
MBtantrabhidanaHK-729	kledinī - ba|18|7	kledinī 
MBtantrabhidanaHK-730	kledinībījaṃ - klhrīṃ|62|12	      
MBtantrabhidanaHK-731	kleśitaḥ - ma|18|17	kleśitaḥ 
MBtantrabhidanaHK-732	p. 10)	p 
MBtantrabhidanaHK-733	khaṃ - ḹ|54|11	khaṃ 
MBtantrabhidanaHK-734	o|40|4	Ro
MBtantrabhidanaHK-735	au|55|3	Ro
MBtantrabhidanaHK-736	khagaḥ - kha|42|17	kha gaḥ 
MBtantrabhidanaHK-737	khaṅgakaḥ - kha|11|14	khaṅgakaḥ 
MBtantrabhidanaHK-738	kaṅgārddhākāraḥ - ṅa|2|22	kaṅga arddha ākāraḥ 
MBtantrabhidanaHK-739	khaṅgī - gha|2|14	khaṅgī 
MBtantrabhidanaHK-740	gha|12|3	Ro
MBtantrabhidanaHK-741	gha|37|3	Ro
MBtantrabhidanaHK-742	gha|49|2	Ro
MBtantrabhidanaHK-743	gh|55|15	Ro
MBtantrabhidanaHK-744	la|20|5	Ro
MBtantrabhidanaHK-745	khaṅgīśvaraḥ - va|3|16	      
MBtantrabhidanaHK-746	khaṇḍaḥ - jha|37|14	khaṇḍaḥ 
MBtantrabhidanaHK-747	jha|43|9	Ro
MBtantrabhidanaHK-748	khadyotaṃ - hraṃ|64|12	khadyotam 
MBtantrabhidanaHK-749	kharparaḥ - ṅa|12|19	kharparaḥ 
MBtantrabhidanaHK-750	ṅa|49|5	Ro
MBtantrabhidanaHK-751	khalaḥ - śa|20|17	khalaḥ 
MBtantrabhidanaHK-752	khādimaḥ - ka|55|9	khādimaḥ 
MBtantrabhidanaHK-753	khalapūḥ - ṣa|21|6	khalapūḥ 
MBtantrabhidanaHK-754	khāntaḥ - ga|55|14	kha antaḥ 
MBtantrabhidanaHK-755	khecaraḥ - ṭa|49|17	khecaraḥ 
MBtantrabhidanaHK-756	khecarī - ṭa|14|7	khecarī 
MBtantrabhidanaHK-757	kheṭaḥ - kha|36|50	kheṭaḥ 
MBtantrabhidanaHK-758	kheṭaḥ - kha|42|17	kheṭaḥ 
MBtantrabhidanaHK-759	kha|55|11	Ro
MBtantrabhidanaHK-760	|| ga ||	ga 
MBtantrabhidanaHK-761	gaganaṃ - pha|18|9	gaganam 
MBtantrabhidanaHK-762	ha|3|22	Ro
MBtantrabhidanaHK-763	ha|21|14	Ro
MBtantrabhidanaHK-764	gaṅgā - ga|11|15	gaṅgā 
MBtantrabhidanaHK-765	gajakumbhaḥ - ga|42|20	gaja kumbhaḥ 
MBtantrabhidanaHK-766	ga|37|2	Ro
MBtantrabhidanaHK-767	ga|55|14	Ro
MBtantrabhidanaHK-768	gajajyotiḥ - e|42|3	gajajyotiḥ 
MBtantrabhidanaHK-769	gajavaktrakaḥ - e|54|13	      
MBtantrabhidanaHK-770	gajāṅkuśaḥ - u|35|13	gajāṅkuśaḥ 
MBtantrabhidanaHK-771	u|41|11	Ro
